original_id,link_url,user_nickname,original_message_id,subject,message_time,category,domain,status,location,target_object,content,reply_id,reply_nickname,reply_organization,reply_time,reply_content,satisfaction,solution_score,attitude_score,speed_score,wuhan_gid,district_name
1634,http://liuyan.people.com.cn/threads/content?tid=19408101,13********4,19408101,噪音扰民,2023/12/7 2:58,投诉/求助,环保,已办理,湖北省 武汉市,湖北省硚口区委书记,2023年12月7日凌晨00:00至2:49（现在）深受噪音扰民影响，宝丰街道路非正常时间施工，且分贝极大，几次拨打市长热线城管热线无果，报警也被告知不是其管理范围内。现在本人睡不着且急得直在家里转圈，希望能妥善处理问题且日后能有更及时的处理热线，明天我还要从早上九点上班上到晚上十点，望区委书记费心。,6719029,18********0,硚口区,2023/12/15 9:07,网友您好！您反映的问题回复如下：您反映的问题宝丰街已收悉。您反映的是宝丰街道路夜间噪音扰民的问题，经查，为方便居民出行，改善群众生活环境。2023年12月5-6日晚夜间宝丰街路面刨铣，铺沥青。产生噪音影响了附近居民的休息。2023年12月7日宝丰街的铺沥青工程已完毕，噪音问题已解决。2023年12月11日宝丰街工作人员16:02、16:07、16:28联系您，您均未接听电话。感谢您对我们工作的监督、理解与支持。,,,,,10,硚口区
1635,http://liuyan.people.com.cn/threads/content?tid=18545072,15********3,18545072,未正常缴纳员工医保社保公积金,2023/7/30 15:48,投诉/求助,企业,已办理,湖北省 武汉市,湖北省武昌区委书记,2023年2月九日经湖北纳*人力资源有限公司湖北分公司派遣至单位上班，签订劳动合同，但是至今未缴纳社保，2月至6月社保，2月医保，2月，5月6月公积金均未缴纳，但是相对应的钱已经从工资扣除。,6445755,13********7,武汉武昌区,2023/8/24 17:07,"网友，您好，您反映的社保缴纳问题，经过武昌区工作人员调查了解，现回复如下：

工作人员向公司核实相关情况后，依法对该公司进行了催缴，目前公司反馈已完成相关社保费用缴纳事宜。

8月9日，工作人员与您进行电话沟通，告知相关办理情况。感谢您的理解和支持。",,,,,11,武昌区
1636,http://liuyan.people.com.cn/threads/content?tid=18108231,13********9,18108231,虚假宣传诱导消费,2023/5/29 11:32,投诉/求助,教育,已办理,河南省 洛阳市,湖北省武昌区委书记,2023年2月，在抖音平台看到武汉*知信息科技有限公司做广告，说无货源无囤货0粉丝 小白就可以做带货达人，刚开始是通过微信加我好友，他告诉我说:做[大赢家至尊版15888元]收款方是武汉*知信息科技有限公司，可以打造引流款50款，对接达人60人，打造IP账号，蓝V认证，直播教学，还给我一对一指导，学习后小店打造起来预估月收入15000+左右，还给我保证1-3天店铺陆陆续续出单就有收益，我全信了！但是没钱他们还让我刷信用卡 2023年2月22日交钱后。我跟着学做了开店铺，之后就跟着他们所说的来做什么店铺装修产品上架到最后就说要我自己联系分销商带货根本就没有提及引流款和对接达人，现在店铺快三个月了，一单都没有，没有任何效果；这才发现被骗了，根本没有他们说的那么好！恳请领导好好查查他们公司虚假宣传，诱导消费。帮我们把钱追回来，减少我们的损失。,6301193,13********7,武汉武昌区,2023/6/16 16:31,"网民朋友，您好，您反映的诱导消费问题，经过武昌区工作人员调查了解，现回复如下：

武昌工作人员到公司进行核查，并组织您与公司进行调解，经过调解，公司现场进行了退款。

6月7日，武昌区工作人员与您电话联系，告知相关办理情况。感谢您的理解和支持。",,,,,11,武昌区
1637,http://liuyan.people.com.cn/threads/content?tid=19086727,18********6,19086727,不予退费,2023/10/19 19:23,投诉/求助,企业,已办理,湖北省 武汉市,湖北省武昌区委书记,2023年3月16日我在瑞*健身（地址：水果湖中北路东沙大厦B座9楼）办理私教卡（6720元），现剩余6160元，条款中未写明手续费的标准，因健身房不停更换教练，影响了我的体验感，我决定退剩下余额6160元。对方态度恶劣，要扣除高额的手续费，拒绝了我的要求。,6603362,13********7,武汉武昌区,2023/10/31 19:10,"网民朋友，您好，您反映的退费问题，经过武昌区工作人员调查了解，现回复如下：

经过工作人员调查和协调处理，目前公司完成了对您的退款，感谢您的理解和支持，祝您生活愉快！",,,,,11,武昌区
1638,http://liuyan.people.com.cn/threads/content?tid=17491959,18********4,17491959,快过期的药,2023/3/4 11:49,投诉/求助,医疗,已办理,湖北省 武汉市,湖北省江岸区委书记,2023年3月1号我在美*下单。武汉市江汉区花楼街198号宝丽金国际广场一层13.14.15.16室益*大药房买了一个名为唯**富马酸亚铁颗粒的药，商家没有告知我药还有二个月要过期了。然后我要退钱，商家要我把药还回去，跑腿我自己出，才退钱。然后说自己药是好的，可以吃。但是临近过期三个月之内的药禁止售卖，我要投诉她。,6121632,15********2,武汉江岸区,2023/3/13 9:08,网友，您好！您反映买到过期药的问题，经核实花楼街198号宝丽金国际广场一层益丰大药房属于江汉区管辖，建议您向江汉区咨询。,,,,,7,江岸区
1639,http://liuyan.people.com.cn/threads/content?tid=19351361,13********6,19351361,投诉,2023/11/28 15:42,投诉/求助,医疗,已办理,湖北省 武汉市,湖北省硚口区委书记,2023年3月我互联网问诊挂号咨询到*医院风湿免疫科李*岗医生，医生给我打电话让我加他微信，因我当时孕中期，医生只给我做了一些抽血检查，B27基因检测结果为阳性，李*岗说我是强直性脊柱炎，让我生孩子之后赶快去联系治疗，我7月底生完孩子，立刻去武汉市**医院拍了CT，CT结果未显示强直性脊柱炎，医生诊断为：强直性脊柱炎，建议我打针，尽快治疗。出医院后一位自称李*岗医生学生的人加我微信，名字叫:邹*，我找李*岗本人确认，此人是否为医院工作人员，医生说是的，是办理双通道报销的人。一周后邹*联系我，一直催促我去买生物制剂，还说先帮我准备好资料，于是我8月7号在医院打了一针生物制剂，8月12号我去医院，医生给我开了处方，邹*带我办理了双通道报销，然后去对面药房买了12针生物制剂，报销前一万多，之前医生说生物制剂每月一针，一周内就会见效，一个月之后我联系医生说完全没效果还是痛，医生说继续每周一针，10月9日我主动咨询医生，医生说10天一针，截止10月底三个月我已经打了11针，我感觉疼痛根本没有一点好转，咨询李医生，他让我继续10天一针。由于疼痛没有缓解，我11月2号在**西院挂了一个副主任王医生的号，在排队叫号的时候看到邹*从医生办公室出来，我觉得疑惑，就诊时王医生问我之前怎么治疗怎么用针，我告知医生，医生当即表示我打针打错了，用针频率不对，应该是每周一针打五针，之后改为每个月一针，他看了我的ct报告说我也不一定是强直，让我重新做磁共振。我顺便问医生刚刚那个人是不是邹*，他说是的，邹*是药代。我在**医院重新查了b27基因检测，结果居然为阴性！我对此不满要求投诉该医院及医生，并且要求查清李*岗和医药代表邹*的关系。我需要退掉我没打完的针，并且赔偿。,6698763,18********0,硚口区,2023/12/7 14:48,"网友您好！您反映的问题回复如下：您反映的问题区卫生健康局已收悉。区卫生健康局工作人员与您电话联系了解，您反映的是一医院的医疗纠纷问题。您反映2023年3月在互联网问诊挂号咨询到一医院风湿免疫科李**医生，后在一医院医生诊断为:强直性脊柱炎，建议打针，尽快治疗。于是8月7号开始在医院打生物制剂针。您认为一医院错误诊断，错误用针，频繁用针，对此不满要求投诉该医院及医生，要求退掉没打完的针，并且赔偿。经区卫生健康局工作人员核实，您初诊时腰背骨盆酸痛，骶骼关节及双髋关节均有晨僵疼痛，休息痛明显，确诊强直性脊柱炎，依据强直性脊柱炎治疗指南开具了非甾体药和生物制剂治疗，用药一个月症状好转。之后您未到医院做相关复查，未做进一步病情评估和用药评估。院方认为对于强直性脊柱炎诊断是否正确和药物是否有效果问题，建议到相关部门进行专业鉴定。您曾反映过此事,区卫生健康局工作人员2023年11月16日上午、12月5日上午电话联系您，知您办理情况及处理，医疗纠纷5个途径；1.双方自愿协商处理；2.申请人民调解；3.申请行政调解；4.向人民法院提起诉讼；5.法律、法规规定的其他途径。您表示愿意先与院方协商。感谢您对我们工作的监督、理解与支持。",,,,,10,硚口区
1640,http://liuyan.people.com.cn/threads/content?tid=17972350,18********9,17972350,公共区域为什么会变成商业电动车停车场,2023/5/10 11:41,投诉/求助,治安,已办理,湖北省 武汉市,湖北省硚口区委书记,2023年5月10号，星期三、上午9:15分，我在武汉市硚口区古田三路普爱医院(古田院区)大门院墙外停电动车，有个收费的师傅挂着脖子上的支付宝、微信收款二维码，我问收费的师傅我停在普爱医院(古田院区)大门口院墙外正好上方是地铁台阶下面，属于公共区域为什么要收费，收费的师傅说只要停在这里的电动车必须收费，停一次2元，我交了2元线给收费的师傅，收费是次要的我要问的问题是，这是公共区域还是商业用地，是怎样划分区域，是公共区域还是商业用地，恳请政府部门查清区域属于什么性质!,6242916,18********0,硚口区,2023/5/17 16:05,"网友您好！您反映的问题回复如下：您反映的问题韩家墩街道已收悉。
经与您电话联系了解，您是反映武汉市硚口区古田三路普爱医院（古田院区）大门院墙外停电动车收费的问题，通过调查核实，您反映的问题属实。
经查，古田三路轻轨站非机动车停车棚位于解放大道与古田三路交叉口，其前身是武汉市普爱医院（古田院区）为优化医疗环境、规范医院周边秩序、方便患者就医而修建的便民停车棚，2013年，医院保卫部与租赁人张某就该非机动车停车棚签订承包合同，2016年到期。该地段后被划入人行道城市道路（非主要道路），但是张某仍在此处经营该停车棚，聘请一名刑满释放人员现场管理。向区规划分局了解，该停车棚所属地块性质为公共用地，张某私自占用并经营停车棚，收取管理服务费的行为，属于占用人行道城市道路（非主要道路），其行为违反《城市道路管理条例》第二十七第（一）项。街道执法中心于2023年3月23日和现场管理人员见面，现场管理人员表示自己非当事人，电话联系当事人张某，号码均为空号，于是告知现场管理人员，要求其通知张某，并立即整改，还路于民，如不整改，将依法依规按程序处理。现场管理人员表示不配合，认为这块地方是合法占有。街道执法中心将继续和当事人联系，争取取得当事人配合。3月24日下午，车棚管理人员拆除了收取费用的二维码和告示牌，停止收费。
5月10日，该车棚负责人再次自行收取停车管理费至今。5月12日下午4时，街道综合执法中心工作人员和公安社区民警现场约谈该车棚负责人，目前车棚负责人为张某前妻熊某，熊某已中风，以收取停车管理费维持生计。经实地了解，大多数居民已习惯缴纳管理费，甚至在管理人员不在时，自行扫码支付。
鉴于实际情况，韩家墩街道执法中心工作人员和公安社区民警对熊某进行法律法规宣传教育，要求其停止收费。韩家墩街道办事处将在此处停车处设置禁止收费的标识，科学划定公共停车区域，并发挥“路长制”的管理优势，加强对该区域的巡查管控。韩家墩街道综合执法中心工作人员于2023年5月16日8时57分与您联系，您表示理解。感谢您对我们工作的监督、理解与支持。",,,,,10,硚口区
1641,http://liuyan.people.com.cn/threads/content?tid=19468056,13********1,19468056,不予退费,2023/12/15 8:28,投诉/求助,教育,已办理,广东省 中山市,湖北省硚口区委书记,2023年5月13日与武汉优*西点教育签先学后付分期贷款课程。总共只上了一天课，5月14日协商无法退款对方只承诺保留课程时间不限。12月13日与武汉优*西点教育多次沟通退课并取消分期，对方一直转移话题到最后不回消息不与本人沟通,6738430,18********0,硚口区,2023/12/22 9:48,网友您好！您反映的问题回复如下：您反映的问题区人力资源局已收悉。您反映的是关于与武汉****教育退费协商的问题。经区人力资源局工作人员与您电话联系了解，您反映2023年5月13日与武汉****教育签先学后付分期贷款课程。总共只上了一天课，5月14日协商无法退款对方只承诺保留课程时间不限。12月13日与武汉****教育多次沟通退课并取消分期，对方一直转移话题到最后不回消息不与本人沟通。通过调查核实，您于2023年5月13日与武汉****职业技能培训学校有限公司签订培训协议，报名参加为期30天的蛋糕裱花面包西点烘焙课程，自愿选择采取分期支付方式，通过18期贷款支付学费。您于2023年5月上过一天课程之后，因个人原因提出不再继续完成所剩课程，遂提出取消后续贷款费用。经区人力资源局与****校方沟通协调，****校方已与您就退款事宜协商达成一致，在您完成本月贷款还款之后，取消您除已发生的课程费用及合同、银行贷款违约费之外的贷款费用。区人力资源局工作人员于2023年12月20日15时35分与您联系，已告知您处理结果。感谢您对我们工作的监督、理解与支持。,,,,,10,硚口区
1642,http://liuyan.people.com.cn/threads/content?tid=18414056,19********2,18414056,拒发兼职工工资,2023/7/12 10:08,投诉/求助,企业,已办理,湖北省 黄冈市,湖北省汉阳区委书记,2023年7.5日我在朴*超市(汉阳城中花园D区店)办理了入职，于2023年7.11日提出离职，工时一共为18小时，应发我306元工资，人资拒绝发给我工资,6364857,18********1,武汉市汉阳区委书记,2023/7/18 10:51,"网友，您好！您的留言已收悉，根据您反映的问题，经汉阳区人力资源局调查核实，现回复如下：
经工作人员核实，该店负责人高某表示，因您离职较为匆忙，需要您在近期内到店配合工作人员进行以下事宜：1、核对考勤是否有误；2、核算具体工资金额；3、做好离职交接手续。由于您的工作时间在7月份，该店将于8月15日将工资发放至银行卡上。 
汉阳区人力资源局前期已向您沟通反馈情况。感谢您的理解和信任，希望您一如既往支持和监督我们的工作！",,,,,4,汉阳区
1643,http://liuyan.people.com.cn/threads/content?tid=18459492,18********6,18459492,被公司辞退未结清工资还把我删除了,2023/7/18 13:41,投诉/求助,就业,已办理,湖北省 武汉市,湖北省硚口区委书记,2023年7月13日被公司辞退未结清工资和补偿，说后续给我，结果今天在要工资就把我删除了，还未签订劳动合同和缴纳社保，工资都是微信发放的,6371301,18********0,硚口区,2023/7/20 16:01,网友您好！您反映的问题回复如下：您反馈的问题区人力资源局已收悉。该局工作人员经与您电话联系了解，硚口区汉西三路万都国际门业中心3楼电梯口**装饰公司已支付您工资。该局工作人员于2023年7月19日11时24分与您联系，已告知您处理结果。感谢您对我们工作的监督、理解与支持。,,,,,10,硚口区
